ecosystem,model,dataset,repetition,phase,energy_j,duration_s,gpu_j,cpu_j,power_w
Python/JAX,vgg16,tinyimagenet,2,Training,121710.883715,307.680558,104938.785,16772.098715,395.57547771672984
Python/JAX,vgg16,tinyimagenet,3,Inference,6719.370522,22.390814,5435.325,1284.0455220000001,300.0949640330182
Python/JAX,vgg16,tinyimagenet,3,Training,122508.394556,307.968232,105159.606,17348.788556,397.79555754958517
Python/JAX,vgg16,tinyimagenet,4,Inference,6635.280116,22.120528,5381.5,1253.7801160000001,299.96029552278316
Python/JAX,vgg16,tinyimagenet,4,Training,122417.18432100001,308.707472,105220.154,17197.030321,396.54752613503314
Python/PyTorch,resnet18,cifar100,0,Inference,6393.499919,29.198347000000002,4741.527,1651.972919,218.96787235934963
Python/PyTorch,resnet18,cifar100,0,Training,102453.370507,259.113996,87980.939,14472.431507,395.39882865686656
Python/PyTorch,resnet18,cifar100,1,Inference,6186.503143,28.751333,4581.499,1605.004143,215.1727414864556
Python/PyTorch,resnet18,cifar100,1,Training,101651.311875,258.046492,87526.329,14124.982875,393.92634671042146
Python/PyTorch,resnet18,cifar100,2,Inference,6083.367759,28.329625,4513.387,1569.980759,214.73520242502326
Python/PyTorch,resnet18,cifar100,2,Training,101263.212554,257.495642,87331.018,13932.194554,393.2618500549225
Python/PyTorch,resnet18,cifar100,3,Inference,6212.1956310000005,29.050638,4605.981,1606.214631,213.84024788027034
Python/PyTorch,resnet18,cifar100,3,Training,101247.38162,257.856697,87200.41500000001,14046.96662,392.6498043213514
Python/PyTorch,resnet18,cifar100,4,Inference,6358.117147,28.962925,4717.116,1641.001147,219.52607158979973
Python/PyTorch,resnet18,cifar100,4,Training,102252.580136,258.733937,87794.553,14458.027136,395.20358759894725
Python/PyTorch,resnet18,fashionmnist,0,Inference,7498.830474,28.813875,5870.338,1628.492474,260.2506769394953
Python/PyTorch,resnet18,fashionmnist,0,Training,122903.13013800001,310.595182,105647.4,17255.730138,395.70198528707374
Python/PyTorch,resnet18,fashionmnist,1,Inference,6223.289584,28.36431,4633.443,1589.846584,219.40563983400267
Python/PyTorch,resnet18,fashionmnist,1,Training,122138.897177,308.892936,105104.769,17034.128177,395.4085151918139
Python/PyTorch,resnet18,fashionmnist,2,Inference,7367.2595010000005,28.770202,5739.508,1627.751501,256.0725677560415
Python/PyTorch,resnet18,fashionmnist,2,Training,122665.530945,310.15065,105451.549,17213.981945,395.50305938420576
Python/PyTorch,resnet18,fashionmnist,3,Inference,6190.237073,28.625763,4594.88,1595.357073,216.2470594408261
