model,dataset,phase,a,b,median_a_J,median_b_J,p_raw,p_holm,significant,cliffs_delta,magnitude
vgg16,cifar100,Training,Java/DL4J,R/torch,476834.4,246684.3,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Training,Java/DL4J,Rust/tch,476834.4,160503.6,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Training,Python/JAX,Python/PyTorch,60578.1,156907.1,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Training,Python/JAX,Python/TensorFlow,60578.1,93624.9,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Training,Python/JAX,R/torch,60578.1,246684.3,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Training,Python/JAX,Rust/tch,60578.1,160503.6,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Training,Python/PyTorch,Python/TensorFlow,156907.1,93624.9,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,cifar100,Training,Python/PyTorch,R/torch,156907.1,246684.3,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Training,Python/PyTorch,Rust/tch,156907.1,160503.6,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Training,Python/TensorFlow,R/torch,93624.9,246684.3,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Training,Python/TensorFlow,Rust/tch,93624.9,160503.6,0.007936507936507936,0.16666666666666666,False,-1.0,large
vgg16,cifar100,Training,R/torch,Rust/tch,246684.3,160503.6,0.007936507936507936,0.16666666666666666,False,1.0,large
vgg16,fashionmnist,Inference,Cpp/LibTorch,Java/DL4J,5253.6,32561.0,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,fashionmnist,Inference,Cpp/LibTorch,Python/JAX,5253.6,3150.0,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,fashionmnist,Inference,Cpp/LibTorch,Python/PyTorch,5253.6,10304.8,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,fashionmnist,Inference,Cpp/LibTorch,Python/TensorFlow,5253.6,3829.0,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,fashionmnist,Inference,Cpp/LibTorch,R/torch,5253.6,70878.2,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,fashionmnist,Inference,Java/DL4J,Python/JAX,32561.0,3150.0,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,fashionmnist,Inference,Java/DL4J,Python/PyTorch,32561.0,10304.8,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,fashionmnist,Inference,Java/DL4J,Python/TensorFlow,32561.0,3829.0,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,fashionmnist,Inference,Java/DL4J,R/torch,32561.0,70878.2,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,fashionmnist,Inference,Python/JAX,Python/PyTorch,3150.0,10304.8,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,fashionmnist,Inference,Python/JAX,Python/TensorFlow,3150.0,3829.0,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,fashionmnist,Inference,Python/JAX,R/torch,3150.0,70878.2,0.007936507936507936,0.11904761904761904,False,-1.0,large
